item name, inventory count, location
DF606DG-LP, 2, A1
DF486G-LP, 5, A2
DF486G-LP, 5, A3
DF486G-LP, 5, A4
DF486G-LP, 1, A5
DF486G, 5, A6
DF486G, 5, A7
DF486G, 5, A8
GR486G, 5, A10
GR486G, 1, A11
DF486C, 4, A12
DF486C-LP, 4, A13
GR486G-LP, 4, A14
GR488-LP, 3, A15
DF484CG, 2, A16
DF484CG-LP, 2, A17
GR486C, 2, A18
GR486C-LP, 2, A19
GR488, 2, A20
BI-48S/O, 6, A21
BI-48S/O, 6, A22
BI-48S/O, 5, B1
BI-48S/O, 5, B2
BI-48S/S/PH, 5, B4
BI-48S/S/PH, 5, B5
BI-48S/S/PH, 1, B6
BI-48SID/O, 5, B7
BI-48SID/O, 5, B8
BI-48SID/O, 1, B9
BI-48S/S/TH, 5, B10
BI-48S/S/TH, 3, B11
BI-48SD/S/PH, 5, B12
BI-48SD/S/PH, 3, B13
BI-48SID/S/PH, 5, B14
BI-48SID/S/PH, 3, B15
BI-48SD/O, 5, B16
BI-48SD/S/TH, 5, B18
BI-48SID/S/TH, 5, B20
GR366, 5, B22
GR366, 5, D1
GR366, 5, D2
GR366, 5, D3
GR366, 3, D4
DF366, 5, D5
DF366, 5, D6
DF366, 5, D7
DF366, 1, D8
DF366-LP, 5, D9
DF366-LP, 5, D10
DF366-LP, 4, D11
GR366-LP, 5, D12
GR366-LP, 5, D13
GR366-LP, 4, D14
DF364G-LP, 3, D15
GR364G, 3, D16
DF364C, 2, D17
DF364G, 2, D18
GR364C, 2, D19
GR364G-LP, 2, D20
IR365TE/S/TH, 2, D21
DF364C-LP, 1, D22
IR365PE/S/PH, 1, C1
ID-36C, 3, C2
ID-36CI, 3, C3
ID-36R, 3, C4
ID-36RP, 1, C5
BI-42UFD/O, 4, C6
BI-42UFD/O, 4, C7
BI-42UFD/O, 4, C8
BI-42UFD/O, 4, C9
BI-42UFD/O, 1, C10
BI-42UFD/S/PH, 4, C11
BI-42UFD/S/PH, 4, C12
BI-42UFD/S/PH, 4, C13
BI-42UFD/S/PH, 3, C14
BI-42UFD/S/TH, 4, C15
BI-42UFD/S/TH, 4, C16
BI-42UFDID/O, 4, C18
BI-42UFDID/O, 4, C19
BI-42UFDID/S/PH, 4, C21
BI-42UFDID/S/PH, 4, C22
BI-42S/S/PH, 4, E2
BI-42S/S/PH, 2, E3
BI-42UFDID/S/TH, 4, E4
BI-42UFDID/S/TH, 2, E5
BI-42S/O, 4, E6
BI-42S/O, 1, E7
BI-42S/S/TH, 4, E8
BI-42S/S/TH, 1, E9
BI-42SID/O, 4, E10
BI-42SD/O, 3, E12
BI-42SD/S/PH, 3, E13
BI-42SD/S/TH, 3, E14
BI-42SID/S/PH, 3, E15
BI-42SID/S/TH, 2, E16
GR304, 4, E17
GR304, 4, E18
GR304, 4, E19
DF304, 4, E21
DF304, 4, E22
DF304, 2, F1
GR304-LP, 4, F2
GR304-LP, 4, F3
GR304-LP, 1, F4
DF304-LP, 4, F5
DF304-LP, 4, F6
IR304PE/S/PH, 2, F8
IR304TE/S/TH, 2, F9
SO36U/S, 2, F10
ID-30CI, 4, F11
ID-30CI, 4, F12
ID-30CI, 4, F13
ID-30R, 4, F15
ID-30R, 4, F16
ID-30R, 3, F17
ID-30C, 4, F18
ID-30C, 3, F19
ID-30FI, 4, F20
ID-30FI, 2, F21
ID-30F, 4, F22
ID-30RP, 3, G2
BI-36U/O-LH, 5, G3
BI-36U/O-LH, 5, G4
BI-36U/O-LH, 5, G5
BI-36U/O-LH, 5, G6
BI-36U/O-RH, 5, G8
BI-36U/O-RH, 5, G9
BI-36U/O-RH, 5, G10
BI-36U/O-RH, 4, G11
IT-36CI-LH, 5, G12
IT-36CI-LH, 5, G13
IT-36CI-LH, 5, G14
IT-36CI-LH, 3, G15
BI-36UFD/O, 5, G16
BI-36UFD/O, 5, G17
BI-36UFD/O, 5, G18
BI-36UFD/O, 1, G19
BI-36UFD/S/PH, 5, G20
BI-36UFD/S/PH, 5, G21
BI-36UFD/S/PH, 5, G22
BI-36UFD/S/PH, 1, K1
IT-36CI-RH, 5, K2
IT-36CI-RH, 5, K3
IT-36CI-RH, 5, K4
IT-36CI-RH, 1, K5
BI-36U/S/TH-RH, 5, K6
BI-36U/S/TH-RH, 5, K7
BI-36U/S/TH-RH, 2, K8
BI-36UFD/S/TH, 5, K9
BI-36UFD/S/TH, 5, K10
BI-36UFD/S/TH, 1, K11
BI-36U/S/TH-LH, 5, K12
BI-36U/S/TH-LH, 5, K13
IT-36CIID-RH, 5, K15
IT-36CIID-RH, 5, K16
BI-36U/S/PH-LH, 5, K18
BI-36U/S/PH-LH, 4, K19
BI-36U/S/PH-RH, 5, K20
BI-36U/S/PH-RH, 4, K21
BI-36UFDID/S/PH, 5, K22
BI-36UFDID/S/PH, 3, L1
IT-36CIID-LH, 5, L2
IT-36CIID-LH, 3, L3
BI-36UFDID/S/TH, 5, L4
BI-36UFDID/S/TH, 1, L5
IC-36R-RH, 5, L6
IC-36R-RH, 1, L7
BI-36R/O-RH, 5, L8
BI-36UFDID/O, 5, L10
BI-36UID/O-RH, 5, L12
BI-36F/O-LH, 4, L14
BI-36S/O, 4, L15
IC-36RID-RH, 4, L16
BI-36R/O-LH, 3, L17
BI-36S/S/TH, 3, L18
BI-36UID/O-LH, 3, L19
BI-36UID/S/PH-RH, 3, L20
BI-36F/S/PH-LH, 2, L21
BI-36R/S/PH-RH, 2, L22
BI-36R/S/TH-LH, 2, J1
BI-36R/S/TH-RH, 2, J2
BI-36S/S/PH, 2, J3
BI-36UID/S/TH-LH, 2, J4
BI-36UID/S/TH-RH, 2, J5
IC-36RID-LH, 2, J6
IC-36R-LH, 2, J7
BI-36F/O-RH, 1, J8
BI-36F/S/PH-RH, 1, J9
BI-36F/S/TH-LH, 1, J10
BI-36R/S/PH-LH, 1, J11
BI-36UG/S/PH-LH, 1, J12
BI-36UG/S/PH-RH, 1, J13
BI-36UG/S/TH-LH, 1, J14
BI-36UG/S/TH-RH, 1, J15
BI-36UID/S/PH-LH, 1, J16
IC-36FI-LH, 1, J17
IC-36FI-RH, 1, J18
IT-36RID-LH, 1, J19
IT-36RID-RH, 1, J20
IT-36R-LH, 1, J21
IT-36R-RH, 1, J22
SO30PM/S/PH, 4, M1
SO30PM/S/PH, 4, M2
SO30PM/S/PH, 4, M3
SO30PM/S/PH, 4, M4
SO30PM/S/PH, 4, M5
SO30PM/S/PH, 4, M6
SO30PM/S/PH, 1, M7
SO30TE/S/TH, 4, M8
SO30TE/S/TH, 4, M9
SO30TE/S/TH, 4, M10
SO30TE/S/TH, 4, M11
SO30TE/S/TH, 4, M12
SO30TE/S/TH, 4, M13
DO30PM/S/PH, 4, M15
DO30PM/S/PH, 4, M16
DO30PM/S/PH, 4, M17
DO30PM/S/PH, 4, M18
DO30PM/S/PH, 4, M19
DO30PM/S/PH, 3, M20
DO30TE/S/TH, 4, M21
DO30TE/S/TH, 4, M22
DO30TE/S/TH, 3, H1
DO30TE/S/TH, 3, H2
SO30PE/S/PH, 3, H4
SO30PE/S/PH, 3, H5
SO30PE/S/PH, 3, H6
SO30PE/S/PH, 3, H7
SO30PE/S/PH, 1, H8
SO30TM/S/TH, 3, H9
SO30TM/S/TH, 3, H10
SO30TM/S/TH, 3, H11
SO30TM/S/TH, 3, H12
DO30PE/S/PH, 3, H14
DO30PE/S/PH, 3, H15
DO30PE/S/PH, 3, H16
DO30PE/S/PH, 2, H17
DO30TM/S/TH, 3, H18
DO30TM/S/TH, 3, H19
DO30TM/S/TH, 1, H20
SO30CM/B, 3, H21
SO30CM/B, 1, H22
SO30F/S, 3, I1
SO30U/S, 2, I3
ID-27R, 3, I4
ID-27R, 3, I5
ID-27R, 3, I6
ID-27R, 3, I7
ID-27R, 3, I8
ID-27R, 1, I9
MD30TE/S, 4, I10
MD30TE/S, 4, I11
MD30TE/S, 4, I12
MD30TE/S, 4, I13
MD30TE/S, 3, I14
ID-24R, 4, I15
ID-24R, 4, I16
ID-24R, 4, I17
ID-24R, 4, I18
ID-24R, 4, I19
ID-24R, 4, I20
ID-24R, 4, I21
ID-24FI, 4
ID-24F, 3
IC-30R-RH, 10
IC-30RID-RH, 8
IW-30-RH, 8
IC-30FI-LH, 7
IT-30CI-LH, 6
IW-30R-LH, 5
BI-30U/S/TH-LH, 4
IT-30CIID-LH, 4
IT-30CI-RH, 4
IW-30-LH, 4
IW-30R-RH, 4
BI-30U/O-LH, 3
BI-30U/O-RH, 3
BI-30U/S/PH-RH, 3
BI-30U/S/TH-RH, 3
IC-30FI-RH, 3
IC-30R-LH, 3
IT-30FI-LH, 3
BI-30UG/O-RH, 2
IC-30RID-LH, 2
IT-30CIID-RH, 2
BI-30U/S/PH-LH, 1
BI-30UG/S/PH-LH, 1
BI-30UG/S/PH-RH, 1
IT-30RID-LH, 1
IT-30RID-RH, 1
IT-30R-LH, 1
IT-30R-RH, 1
MS24, 23
IC-24FI-LH, 10
IC-24R-RH, 4
IW-24-LH, 4
IW-24-RH, 3
IC-24FI-RH, 2
IC-24R-LH, 1
MD30PE/S, 8
SRT366, 24
SRT366-LP, 18
SRT486G, 6
SRT486G-LP, 5
UC-24R-RH, 16
UC-24BG/O-RH, 15
UC-24R-LH, 15
UC-24BG/O-LH, 12
UC-24BG/S/TH-RH, 12
UC-24BG/S/TH-LH, 8
UC-24CI-RH, 8
UC-24BG/S/PH-RH, 6
UC-24CI-LH, 6
UW-24/O-LH, 5
UW-24/O-RH, 5
UC-24BG/S/PH-LH, 4
UC-24RO/PH-RH, 3
UC-24RO/PH-LH, 2
UW-24/S/PH-RH, 2
UW-24/S/TH-RH, 2
UC-24C-LH, 1
UC-24C-RH, 1
UW-24/S/PH-LH, 1
UW-24/S/TH-LH, 1
UW-24FS/S/TH-RH, 1
IC-18FI-LH, 9
IW-18-LH, 3
IC-18FI-RH, 2
IW-18-RH, 2
MD24TE/S, 49
MC24, 20
UC-15IP, 21
UC-15I, 15
